  phase                            experiment                                track                            model                split  recall_target  threshold  accuracy  precision   recall       f1  roc_auc   pr_auc      fpr      fnr        tn        fp      fn      tp   n_rows
Phase 2            starter_classical_baseline           starter_classical_baseline           hist_gradient_boosting                 test            NaN        NaN  0.877461   0.000000 0.000000 0.000000 0.754436 0.276842      NaN      NaN  645209.0       0.0 90105.0     0.0      NaN
Phase 2            starter_classical_baseline           starter_classical_baseline     logistic_regression_balanced                 test            NaN        NaN  0.871818   0.176416 0.012552 0.023437 0.680909 0.176823      NaN      NaN  639929.0    5280.0 88974.0  1131.0      NaN
Phase 4       main_classical_model_comparison       candidate_pool_stage2_weighted classical_hist_gradient_boosting                 test           0.90   0.003659  0.516699   0.023722 0.910942 0.046239 0.832872 0.098988 0.488438 0.089058 3159000.0 3016200.0  7165.0 73288.0 111329.0
Phase 4       main_classical_model_comparison       candidate_pool_stage2_weighted    classical_logistic_regression                 test           0.90   0.003714  0.305778   0.016875 0.925248 0.033145 0.671820 0.019704 0.702293 0.074752 1838400.0 4336800.0  6014.0 74439.0 111329.0
Phase 4       main_classical_model_comparison       candidate_pool_stage2_weighted          classical_random_forest                 test           0.90   0.003365  0.549327   0.025437 0.912334 0.049493 0.839876 0.079367 0.455402 0.087666 3363000.0 2812200.0  7053.0 73400.0 111329.0
Phase 4       main_classical_model_comparison reduced_quantum_compatible_classical      reduced_logistic_regression                 test           0.80   0.004747  0.124050   0.005279 0.934000 0.010498 0.514232 0.006903 0.880000 0.066000   12000.0   88000.0    33.0   467.0   1000.0
Phase 4       main_classical_model_comparison reduced_quantum_compatible_classical                      reduced_mlp                 test           0.80   0.493924  0.149682   0.005161 0.886000 0.010261 0.500524 0.006914 0.854000 0.114000   14600.0   85400.0    57.0   443.0   1000.0
Phase 4       main_classical_model_comparison reduced_quantum_compatible_classical                  reduced_svm_rbf                 test           0.80   0.494977  0.058428   0.004965 0.944000 0.009877 0.497226 0.007121 0.946000 0.056000    5400.0   94600.0    28.0   472.0   1000.0
Phase 5 fixed_recall_classical_candidate_pool   phase5_fixed_recall_candidate_pool classical_hist_gradient_boosting                 test           0.80   0.004959  0.656134   0.030112 0.824668 0.058102 0.832872 0.098988 0.346062 0.175332 4038200.0 2137000.0 14106.0 66347.0 111329.0
Phase 5 fixed_recall_classical_candidate_pool   phase5_fixed_recall_candidate_pool classical_hist_gradient_boosting                 test           0.90   0.003659  0.516699   0.023722 0.910942 0.046239 0.832872 0.098988 0.488438 0.089058 3159000.0 3016200.0  7165.0 73288.0 111329.0
Phase 5 fixed_recall_classical_candidate_pool   phase5_fixed_recall_candidate_pool classical_hist_gradient_boosting                 test           0.95   0.002450  0.378171   0.019404 0.955887 0.038036 0.832872 0.098988 0.629356 0.044113 2288800.0 3886400.0  3549.0 76904.0 111329.0
Phase 5 fixed_recall_classical_candidate_pool   phase5_fixed_recall_candidate_pool    classical_logistic_regression                 test           0.80   0.004280  0.451782   0.019510 0.845127 0.038140 0.671820 0.019704 0.553342 0.154873 2758200.0 3417000.0 12460.0 67993.0 111329.0
Phase 5 fixed_recall_classical_candidate_pool   phase5_fixed_recall_candidate_pool    classical_logistic_regression                 test           0.90   0.003714  0.305778   0.016875 0.925248 0.033145 0.671820 0.019704 0.702293 0.074752 1838400.0 4336800.0  6014.0 74439.0 111329.0
Phase 5 fixed_recall_classical_candidate_pool   phase5_fixed_recall_candidate_pool    classical_logistic_regression                 test           0.95   0.003259  0.192151   0.015137 0.964924 0.029807 0.671820 0.019704 0.817917 0.035076 1124400.0 5050800.0  2822.0 77631.0 111329.0
Phase 5 fixed_recall_classical_candidate_pool   phase5_fixed_recall_candidate_pool          classical_random_forest                 test           0.80   0.005592  0.672633   0.031776 0.829814 0.061209 0.839876 0.079367 0.329414 0.170186 4141000.0 2034200.0 13692.0 66761.0 111329.0
Phase 5 fixed_recall_classical_candidate_pool   phase5_fixed_recall_candidate_pool          classical_random_forest                 test           0.90   0.003365  0.549327   0.025437 0.912334 0.049493 0.839876 0.079367 0.455402 0.087666 3363000.0 2812200.0  7053.0 73400.0 111329.0
Phase 5 fixed_recall_classical_candidate_pool   phase5_fixed_recall_candidate_pool          classical_random_forest                 test           0.95   0.002047  0.435000   0.021291 0.954731 0.041654 0.839876 0.079367 0.571771 0.045269 2644400.0 3530800.0  3642.0 76811.0 111329.0
Phase 5          novel_pattern_classical_test     phase5_novel_pattern_stress_test     novel_hist_gradient_boosting  test_novel_typology           0.80   0.005397  0.302304   0.049191 0.951430 0.093545 0.747354 0.091025 0.723224 0.048570  267200.0  698200.0  1844.0 36122.0  42793.0
Phase 5          novel_pattern_classical_test     phase5_novel_pattern_stress_test     novel_hist_gradient_boosting test_seen_typologies           0.80   0.005397  0.654539   0.018596 0.805541 0.036353 0.805348 0.052196 0.346693 0.194459 3403600.0 1806200.0  8262.0 34225.0  68536.0
Phase 5          novel_pattern_classical_test     phase5_novel_pattern_stress_test        novel_logistic_regression  test_novel_typology           0.80   0.004031  0.151256   0.040405 0.942027 0.077486 0.556908 0.042729 0.879843 0.057973  116000.0  849400.0  2201.0 35765.0  42793.0
Phase 5          novel_pattern_classical_test     phase5_novel_pattern_stress_test        novel_logistic_regression test_seen_typologies           0.80   0.004031  0.352478   0.010355 0.835856 0.020457 0.636956 0.013097 0.651465 0.164144 1815800.0 3394000.0  6974.0 35513.0  68536.0
Phase 5          novel_pattern_classical_test     phase5_novel_pattern_stress_test              novel_random_forest  test_novel_typology           0.80   0.005818  0.171360   0.043219 0.988700 0.082817 0.716570 0.084495 0.860783 0.011300  134400.0  831000.0   429.0 37537.0  42793.0
Phase 5          novel_pattern_classical_test     phase5_novel_pattern_stress_test              novel_random_forest test_seen_typologies           0.80   0.005818  0.654695   0.018616 0.806058 0.036392 0.803791 0.047816 0.346539 0.193942 3404400.0 1805400.0  8240.0 34247.0  68536.0
