model,sample_index,original_dataset_index,label,score,threshold,prediction
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",0,379,0,-1.070216049382716,0.3501080246913581,0
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",1,237,1,0.9296875,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",2,742,0,0.863184799382716,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",3,527,0,-1.0886863425925928,0.3501080246913581,0
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",4,644,0,-1.1317033179012346,0.3501080246913581,0
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",5,945,1,0.836082175925926,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",6,438,1,0.876880787037037,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",7,579,0,-1.119116512345679,0.3501080246913581,0
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",8,922,1,0.8250385802469136,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",9,352,1,0.9442515432098766,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",10,624,0,-1.0526138117283952,0.3501080246913581,0
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",11,542,0,-1.1062885802469136,0.3501080246913581,0
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",12,146,1,0.820216049382716,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",13,585,0,-1.1267843364197532,0.3501080246913581,0
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",14,143,0,0.87890625,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",15,233,1,0.9669174382716048,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",16,556,0,-1.0907600308641976,0.3501080246913581,0
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",17,196,0,-1.1532118055555556,0.3501080246913581,0
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",18,418,0,-1.0573881172839508,0.3501080246913581,0
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",19,560,1,0.9344135802469136,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",20,1005,0,0.8428337191358024,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",21,117,1,0.8181905864197532,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",22,250,0,0.826147762345679,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",23,381,1,0.7566550925925926,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",24,809,0,-1.1591917438271606,0.3501080246913581,0
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",25,456,0,0.8838252314814814,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",26,795,1,0.921826774691358,0.3501080246913581,1
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",27,21,0,0.9470968364197532,0.3501080246913581,1
