scope,model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,predicted_positive_rate,actual_positive_rate,issue_flag,explanation
ibm_hardware_300_sample_feasibility,"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",0.75,0.674419,0.966667,0.794521,0.761067,0.67547,0.466667,0.033333,80,70,5,145,0.716667,0.5,Not extreme,Accuracy and FPR are not both extreme under this scope.
ibm_hardware_300_sample_feasibility,"Isolation Forest + VQC IBM Hardware, 300-sample split test",0.75,0.674419,0.966667,0.794521,0.733356,0.652829,0.466667,0.033333,80,70,5,145,0.716667,0.5,Not extreme,Accuracy and FPR are not both extreme under this scope.
same_reduced_four_feature_subset,AutoInt-style Attention Tabular Classifier,0.663333,0.60166,0.966667,0.741688,0.672622,0.579514,0.64,0.033333,54,96,5,145,0.803333,0.5,High FPR,Model has high false-positive behavior even if other metrics may look acceptable.
same_reduced_four_feature_subset,FT-Transformer-style Tabular Classifier,0.663333,0.60166,0.966667,0.741688,0.672978,0.581617,0.64,0.033333,54,96,5,145,0.803333,0.5,High FPR,Model has high false-positive behavior even if other metrics may look acceptable.
same_reduced_four_feature_subset,HistGradientBoosting,0.5,0.5,1.0,0.666667,0.5,0.5,1.0,0.0,0,150,0,150,1.0,0.5,High FPR,Model has high false-positive behavior even if other metrics may look acceptable.
same_reduced_four_feature_subset,Isolation Forest + Quantum Kernel SVC Statevector,0.753333,0.67757,0.966667,0.796703,0.742178,0.729721,0.46,0.033333,81,69,5,145,0.713333,0.5,Not extreme,Accuracy and FPR are not both extreme under this scope.
same_reduced_four_feature_subset,Isolation Forest + VQC Statevector,0.516667,0.777778,0.046667,0.08805,0.705467,0.703083,0.013333,0.953333,148,2,143,7,0.03,0.5,Not extreme,Accuracy and FPR are not both extreme under this scope.
same_reduced_four_feature_subset,Logistic Regression,0.513333,0.7,0.046667,0.0875,0.757822,0.707659,0.02,0.953333,147,3,143,7,0.033333,0.5,Not extreme,Accuracy and FPR are not both extreme under this scope.
same_reduced_four_feature_subset,MLP,0.5,0.5,1.0,0.666667,0.264267,0.380059,1.0,0.0,0,150,0,150,1.0,0.5,High FPR,Model has high false-positive behavior even if other metrics may look acceptable.
same_reduced_four_feature_subset,Quantum Kernel SVC Statevector,0.753333,0.67757,0.966667,0.796703,0.742178,0.729721,0.46,0.033333,81,69,5,145,0.713333,0.5,Not extreme,Accuracy and FPR are not both extreme under this scope.
same_reduced_four_feature_subset,Random Forest,0.636667,0.675214,0.526667,0.59176,0.635756,0.592279,0.253333,0.473333,112,38,71,79,0.39,0.5,Not extreme,Accuracy and FPR are not both extreme under this scope.
same_reduced_four_feature_subset,SVM RBF,0.266667,0.12766,0.08,0.098361,0.258667,0.36417,0.546667,0.92,68,82,138,12,0.313333,0.5,Low accuracy with high FPR,"Model is flagging many normal samples as suspicious, creating many false positives."
same_reduced_four_feature_subset,VQC Statevector,0.516667,0.777778,0.046667,0.08805,0.705467,0.703083,0.013333,0.953333,148,2,143,7,0.03,0.5,Not extreme,Accuracy and FPR are not both extreme under this scope.
