file_name,path,size_gb,n_columns,columns,status
HI-Large_Trans.csv,/kaggle/input/datasets/ealtman2019/ibm-transactions-for-anti-money-laundering-aml/HI-Large_Trans.csv,15.8816,11,"timestamp, from_bank, account, to_bank, account_duplicated_0, amount_received, receiving_currency, amount_paid, payment_currency, payment_format, is_laundering",success
HI-Large_accounts.csv,/kaggle/input/datasets/ealtman2019/ibm-transactions-for-anti-money-laundering-aml/HI-Large_accounts.csv,0.1375,5,"bank_name, bank_id, account_number, entity_id, entity_name",success
HI-Medium_Trans.csv,/kaggle/input/datasets/ealtman2019/ibm-transactions-for-anti-money-laundering-aml/HI-Medium_Trans.csv,2.8236,11,"timestamp, from_bank, account, to_bank, account_duplicated_0, amount_received, receiving_currency, amount_paid, payment_currency, payment_format, is_laundering",success
HI-Medium_accounts.csv,/kaggle/input/datasets/ealtman2019/ibm-transactions-for-anti-money-laundering-aml/HI-Medium_accounts.csv,0.135,5,"bank_name, bank_id, account_number, entity_id, entity_name",success
HI-Small_Trans.csv,/kaggle/input/datasets/ealtman2019/ibm-transactions-for-anti-money-laundering-aml/HI-Small_Trans.csv,0.443,11,"timestamp, from_bank, account, to_bank, account_duplicated_0, amount_received, receiving_currency, amount_paid, payment_currency, payment_format, is_laundering",success
HI-Small_accounts.csv,/kaggle/input/datasets/ealtman2019/ibm-transactions-for-anti-money-laundering-aml/HI-Small_accounts.csv,0.0317,5,"bank_name, bank_id, account_number, entity_id, entity_name",success
LI-Large_Trans.csv,/kaggle/input/datasets/ealtman2019/ibm-transactions-for-anti-money-laundering-aml/LI-Large_Trans.csv,15.5927,11,"timestamp, from_bank, account, to_bank, account_duplicated_0, amount_received, receiving_currency, amount_paid, payment_currency, payment_format, is_laundering",success
LI-Large_accounts.csv,/kaggle/input/datasets/ealtman2019/ibm-transactions-for-anti-money-laundering-aml/LI-Large_accounts.csv,0.1344,5,"bank_name, bank_id, account_number, entity_id, entity_name",success
LI-Medium_Trans.csv,/kaggle/input/datasets/ealtman2019/ibm-transactions-for-anti-money-laundering-aml/LI-Medium_Trans.csv,2.772,11,"timestamp, from_bank, account, to_bank, account_duplicated_0, amount_received, receiving_currency, amount_paid, payment_currency, payment_format, is_laundering",success
LI-Medium_accounts.csv,/kaggle/input/datasets/ealtman2019/ibm-transactions-for-anti-money-laundering-aml/LI-Medium_accounts.csv,0.132,5,"bank_name, bank_id, account_number, entity_id, entity_name",success
LI-Small_Trans.csv,/kaggle/input/datasets/ealtman2019/ibm-transactions-for-anti-money-laundering-aml/LI-Small_Trans.csv,0.6058,11,"timestamp, from_bank, account, to_bank, account_duplicated_0, amount_received, receiving_currency, amount_paid, payment_currency, payment_format, is_laundering",success
LI-Small_accounts.csv,/kaggle/input/datasets/ealtman2019/ibm-transactions-for-anti-money-laundering-aml/LI-Small_accounts.csv,0.044,5,"bank_name, bank_id, account_number, entity_id, entity_name",success
