track,model,split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,n_rows,training_time_seconds,test_inference_time_seconds,threshold_policy,recall_target,train_fraction,repeat,train_rows_used,feature_state_time_seconds,kernel_matrix_time_seconds
phase5_label_scarcity,reduced_logistic_regression,test,0.00491464955337195,0.22697512437810946,0.00526848777736473,0.822,0.010469870464011412,0.525048,0.007087455560089731,0.776,0.178,22400.0,77600.0,89.0,411.0,1000,2.247591184999692,0.00030879699988872744,recall_target_precision_max,0.8,0.1,0,160,,
phase5_label_scarcity,reduced_svm_rbf,test,0.48779195403076425,0.22475621890547265,0.004962398321993145,0.776,0.00986173241154941,0.496164,0.008803349792276375,0.778,0.224,22200.0,77800.0,112.0,388.0,1000,0.008037940000576782,0.008034509000935941,recall_target_precision_max,0.8,0.1,0,160,,
phase5_label_scarcity,reduced_mlp,test,0.5087448321661325,0.20480597014925372,0.004776573587917638,0.766,0.009493945440799177,0.46228,0.004387355257653085,0.798,0.234,20200.0,79800.0,117.0,383.0,1000,0.03511627500120085,0.0004423869995662244,recall_target_precision_max,0.8,0.1,0,160,,
phase5_label_scarcity,quantum_kernel_svc_statevector,test,-1.0001921296410385,0.181273631840796,0.005059430148393812,0.836,0.010057989845761447,0.49558399999999997,0.00526783591854388,0.822,0.164,17800.0,82200.0,82.0,418.0,1000,0.004124336001041229,0.001571791999595007,recall_target_precision_max,0.8,0.1,0,160,0.24227121699914278,0.011422785999457119
phase5_label_scarcity,reduced_logistic_regression,test,0.004390028335054961,0.11605970149253732,0.005198064169205951,0.928,0.010338220221915245,0.501776,0.00473677630649386,0.888,0.072,11200.0,88800.0,36.0,464.0,1000,1.4237249359994166,0.00039338399983535055,recall_target_precision_max,0.8,0.1,1,160,,
phase5_label_scarcity,reduced_svm_rbf,test,0.494577139863965,0.028756218905472638,0.0049954123763890305,0.98,0.00994015620245461,0.48663599999999996,0.00491350226150903,0.976,0.02,2400.0,97600.0,10.0,490.0,1000,0.006811582999944221,0.00633251600083895,recall_target_precision_max,0.8,0.1,1,160,,
phase5_label_scarcity,reduced_mlp,test,0.3515111717942,0.03281592039800995,0.005097340784867653,0.996,0.010142772765229435,0.49801599999999996,0.004945565368918708,0.972,0.004,2800.0,97200.0,2.0,498.0,1000,0.061289896999369375,0.000414206999266753,recall_target_precision_max,0.8,0.1,1,160,,
phase5_label_scarcity,quantum_kernel_svc_statevector,test,-1.0006181661595848,0.016895522388059702,0.005015206751394791,0.996,0.00998015992304455,0.520988,0.005068489535333447,0.988,0.004,1200.0,98800.0,2.0,498.0,1000,0.003688052000143216,0.0015692400011175778,recall_target_precision_max,0.8,0.1,1,160,0.24596334000125353,0.004812780000065686
phase5_label_scarcity,reduced_logistic_regression,test,0.004085839060864746,0.11406965174129353,0.005186443709201466,0.928,0.010315237205993508,0.49996799999999997,0.004714959349770226,0.89,0.072,11000.0,89000.0,36.0,464.0,1000,1.3314415530003316,0.00035978699997940566,recall_target_precision_max,0.8,0.1,2,160,,
phase5_label_scarcity,reduced_svm_rbf,test,0.48745278245261403,0.1594328358208955,0.00498685498037089,0.846,0.009915263176400266,0.485956,0.004693084302268778,0.844,0.154,15600.0,84400.0,77.0,423.0,1000,0.007615456999701564,0.006897843999468023,recall_target_precision_max,0.8,0.1,2,160,,
phase5_label_scarcity,reduced_mlp,test,0.3750908260052094,0.0505771144278607,0.0050373893182315945,0.966,0.010022514343815818,0.494104,0.004662277027398642,0.954,0.034,4600.0,95400.0,17.0,483.0,1000,0.020611075999113382,0.0004705240007751854,recall_target_precision_max,0.8,0.1,2,160,,
