model,track,test_recall,test_precision,test_f1,test_fpr,inference_rows_per_second,inference_time_seconds,estimated_seconds_per_1m_candidate_rows
classical_logistic_regression,candidate_pool_stage2_weighted,0.9252482816054094,0.0168748508072221,0.0331451933926012,0.7022930431403032,686848.7845594918,0.1620866229986859,1.4559245389672586
classical_hist_gradient_boosting,candidate_pool_stage2_weighted,0.9109417921022211,0.0237217299436023,0.0462393464105483,0.4884376214535562,270466.5337926066,0.4116183930000261,3.6973151020850463
classical_random_forest,candidate_pool_stage2_weighted,0.9123339092389344,0.0254366509564735,0.0494933839685265,0.4554022541780023,233163.35203023345,0.47747211999922,4.288838667366274
phase3b_screener_plus_classical_logistic_regression,estimated_full_hybrid_pipeline,0.8261361744631264,0.0168748508072221,0.0330741218622704,0.0672004074419833,,,
phase3b_screener_plus_classical_hist_gradient_boosting,estimated_full_hybrid_pipeline,0.8133621885577936,0.0237217299436023,0.0460989818508217,0.0467371953805825,,,
phase3b_screener_plus_classical_random_forest,estimated_full_hybrid_pipeline,0.8146051828422396,0.0254366509564735,0.049332847174031,0.0435761358163497,,,
reduced_logistic_regression,reduced_quantum_compatible_classical,0.934,0.0052788045259814,0.010498274641159,0.88,3310414.2319703125,0.0003020770000148,0.3020770000148332
reduced_svm_rbf,reduced_quantum_compatible_classical,0.944,0.0049646583641871,0.0098773699409869,0.946,17522.51783735594,0.0570694239995646,57.06942399956461
reduced_mlp,reduced_quantum_compatible_classical,0.886,0.0051605838565753,0.0102613993027807,0.854,2316573.701603879,0.00043167199874,0.43167199874005746
quantum_kernel_svc_statevector,quantum_statevector_reduced_features,0.944,0.0051487913430491,0.0102417219980037,0.912,86797.2224183474,0.0115211060001456,11.521106000145664
variational_quantum_classifier_statevector,quantum_statevector_reduced_features,0.99,0.004945301963135,0.0098414434117003,0.996,6255.976647317919,0.1598471439992863,159.84714399928635
