sample_index,original_test_index,label,weight,n_qubits,n_clbits,depth_untranspiled,size_untranspiled,ops_untranspiled
0,106,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
1,147,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
2,98,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
3,142,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
4,72,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
5,6,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
6,124,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
7,10,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
8,114,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
9,65,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
10,15,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
11,13,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
12,175,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
13,82,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
14,133,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
15,84,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
16,44,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
17,107,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
18,39,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
19,17,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
20,160,0,200.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
21,2,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
22,186,1,1.0,4,4,13,28,"{'ry': 12, 'rzz': 6, 'cx': 6, 'measure': 4, 'barrier': 1}"
