sample_index,label,counts_json,shots_observed
0,0,"{""0111"": 48, ""1011"": 740, ""1111"": 25, ""0100"": 15, ""0011"": 109, ""1110"": 24, ""0001"": 26, ""1010"": 13, ""0110"": 7, ""1001"": 3, ""1100"": 5, ""0010"": 2, ""0101"": 5, ""1101"": 2}",1024
1,0,"{""1011"": 730, ""0011"": 86, ""0111"": 57, ""1110"": 22, ""1001"": 20, ""0001"": 18, ""1111"": 46, ""0100"": 16, ""1101"": 3, ""0110"": 7, ""1100"": 4, ""1010"": 6, ""0000"": 3, ""0101"": 1, ""0010"": 5}",1024
2,0,"{""0011"": 786, ""0001"": 16, ""1011"": 50, ""1101"": 8, ""0100"": 6, ""0101"": 6, ""0111"": 26, ""1000"": 4, ""0110"": 30, ""1100"": 13, ""0010"": 10, ""1111"": 44, ""1001"": 17, ""1010"": 4, ""1110"": 3, ""0000"": 1}",1024
3,0,"{""1011"": 805, ""1110"": 34, ""0011"": 25, ""1111"": 38, ""1000"": 5, ""0111"": 31, ""1010"": 10, ""0101"": 7, ""0001"": 21, ""0100"": 15, ""0110"": 7, ""1001"": 13, ""0000"": 4, ""0010"": 1, ""1101"": 6, ""1100"": 2}",1024
4,0,"{""0011"": 278, ""1011"": 565, ""1001"": 13, ""1111"": 48, ""0111"": 42, ""1110"": 21, ""0110"": 11, ""0100"": 13, ""0001"": 12, ""1000"": 3, ""1010"": 4, ""0101"": 4, ""1101"": 2, ""1100"": 5, ""0010"": 2, ""0000"": 1}",1024
5,1,"{""0011"": 575, ""0001"": 10, ""1100"": 11, ""1011"": 287, ""0111"": 31, ""0110"": 9, ""1111"": 44, ""1001"": 19, ""0010"": 7, ""1010"": 4, ""1110"": 7, ""0100"": 8, ""1101"": 3, ""0101"": 5, ""0000"": 2, ""1000"": 2}",1024
6,1,"{""1010"": 4, ""0011"": 598, ""1001"": 19, ""1011"": 267, ""1101"": 7, ""0001"": 20, ""0111"": 27, ""1110"": 15, ""1111"": 42, ""0110"": 7, ""1000"": 3, ""1100"": 6, ""0100"": 4, ""0101"": 2, ""0010"": 3}",1024
7,1,"{""0011"": 571, ""1011"": 312, ""1100"": 14, ""1111"": 29, ""1001"": 18, ""0111"": 19, ""0101"": 6, ""0010"": 11, ""1110"": 9, ""0001"": 13, ""1010"": 4, ""1000"": 1, ""0110"": 8, ""0100"": 5, ""1101"": 3, ""0000"": 1}",1024
8,1,"{""1011"": 749, ""0111"": 59, ""0011"": 81, ""0010"": 4, ""1101"": 3, ""1000"": 4, ""1111"": 41, ""1110"": 17, ""0110"": 8, ""0101"": 4, ""0001"": 11, ""0100"": 23, ""1010"": 5, ""1001"": 11, ""1100"": 4}",1024
9,0,"{""1011"": 777, ""0011"": 80, ""1010"": 9, ""0110"": 5, ""1001"": 10, ""1111"": 27, ""0100"": 21, ""0001"": 20, ""0111"": 44, ""1110"": 22, ""1101"": 3, ""1100"": 3, ""0010"": 1, ""0101"": 2}",1024
