sample_index,label,depth_transpiled,size_transpiled,ops_transpiled
0,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
1,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
2,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
3,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
4,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
5,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
6,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
7,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
8,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
9,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
10,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
11,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
12,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
13,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
14,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
15,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
16,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
17,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
18,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
19,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
20,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
21,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
22,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
23,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
24,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
25,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
26,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
27,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
28,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
29,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
30,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
31,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
32,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
33,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
34,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
35,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
36,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
37,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
38,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
39,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
40,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
41,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
42,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
43,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
44,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
45,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
46,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
47,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
48,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
49,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
50,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
51,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
52,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
53,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
54,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
55,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
56,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
57,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
58,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
59,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
60,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
61,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
62,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
63,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
64,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
65,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
66,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
67,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
68,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
69,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
70,0,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
71,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
72,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
73,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
74,1,95,159,"{'sx': 63, 'rz': 62, 'cz': 30, 'measure': 4, 'barrier': 1}"
