model_group,purpose,i,j,circuit_index,n_qubits,n_clbits,depth_untranspiled,size_untranspiled,ops_untranspiled
kernel_svc,train_kernel,0,0,0,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,1,1,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,2,2,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,3,3,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,4,4,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,5,5,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,6,6,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,7,7,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,8,8,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,9,9,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,1,10,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,2,11,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,3,12,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,4,13,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,5,14,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,6,15,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,7,16,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,8,17,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,9,18,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,2,19,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,3,20,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,4,21,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,5,22,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,6,23,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,7,24,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,8,25,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
