model_group,purpose,i,j,circuit_index,counts_json,shots_observed
kernel_svc,train_kernel,0,0,0,"{""0000"": 241, ""0001"": 14, ""1000"": 1}",256
kernel_svc,train_kernel,0,1,1,"{""0000"": 206, ""1000"": 12, ""1100"": 1, ""0100"": 22, ""1001"": 2, ""0001"": 12, ""0010"": 1}",256
kernel_svc,train_kernel,0,2,2,"{""0000"": 167, ""1000"": 54, ""1100"": 1, ""0100"": 6, ""0001"": 20, ""1001"": 6, ""0101"": 1, ""1010"": 1}",256
kernel_svc,train_kernel,0,3,3,"{""0000"": 234, ""0001"": 15, ""1000"": 5, ""0100"": 2}",256
kernel_svc,train_kernel,0,4,4,"{""0000"": 207, ""1000"": 28, ""1001"": 3, ""0001"": 11, ""0100"": 2, ""0010"": 2, ""1100"": 3}",256
kernel_svc,train_kernel,0,5,5,"{""0000"": 217, ""0001"": 33, ""0010"": 3, ""0100"": 2, ""1000"": 1}",256
kernel_svc,train_kernel,0,6,6,"{""1000"": 28, ""0000"": 209, ""0001"": 12, ""1001"": 3, ""1010"": 2, ""0100"": 2}",256
kernel_svc,train_kernel,0,7,7,"{""0000"": 235, ""0001"": 19, ""1000"": 1, ""1001"": 1}",256
kernel_svc,train_kernel,0,8,8,"{""0000"": 214, ""0001"": 34, ""1000"": 7, ""0100"": 1}",256
kernel_svc,train_kernel,0,9,9,"{""0001"": 27, ""1000"": 2, ""0000"": 223, ""0010"": 4}",256
kernel_svc,train_kernel,1,1,10,"{""0001"": 18, ""0000"": 238}",256
kernel_svc,train_kernel,1,2,11,"{""0000"": 205, ""0001"": 26, ""1000"": 14, ""0010"": 2, ""0100"": 7, ""1001"": 2}",256
kernel_svc,train_kernel,1,3,12,"{""0000"": 227, ""0001"": 18, ""0100"": 8, ""1000"": 1, ""0101"": 1, ""1100"": 1}",256
kernel_svc,train_kernel,1,4,13,"{""0001"": 19, ""0100"": 7, ""0000"": 224, ""1001"": 1, ""1100"": 1, ""1000"": 3, ""0010"": 1}",256
kernel_svc,train_kernel,1,5,14,"{""0000"": 205, ""0100"": 7, ""0001"": 21, ""1000"": 16, ""1001"": 3, ""1010"": 1, ""0010"": 2, ""1100"": 1}",256
kernel_svc,train_kernel,1,6,15,"{""0000"": 215, ""0100"": 11, ""0001"": 22, ""1000"": 4, ""0101"": 1, ""1100"": 1, ""0010"": 2}",256
kernel_svc,train_kernel,1,7,16,"{""1000"": 27, ""0000"": 187, ""1100"": 8, ""0001"": 10, ""0100"": 22, ""1001"": 1, ""0101"": 1}",256
kernel_svc,train_kernel,1,8,17,"{""0000"": 168, ""0001"": 24, ""0100"": 13, ""1001"": 10, ""1000"": 35, ""0010"": 2, ""0101"": 2, ""1100"": 2}",256
kernel_svc,train_kernel,1,9,18,"{""0001"": 20, ""0000"": 219, ""0100"": 6, ""1000"": 7, ""0011"": 1, ""0101"": 1, ""1001"": 1, ""0010"": 1}",256
kernel_svc,train_kernel,2,2,19,"{""0000"": 241, ""0001"": 13, ""0100"": 1, ""1000"": 1}",256
kernel_svc,train_kernel,2,3,20,"{""0000"": 214, ""1000"": 20, ""0001"": 18, ""1001"": 2, ""1100"": 1, ""0100"": 1}",256
kernel_svc,train_kernel,2,4,21,"{""0000"": 226, ""0001"": 28, ""1000"": 2}",256
kernel_svc,train_kernel,2,5,22,"{""0000"": 182, ""1000"": 56, ""0001"": 14, ""1001"": 3, ""0100"": 1}",256
kernel_svc,train_kernel,2,6,23,"{""0000"": 231, ""0001"": 20, ""1000"": 3, ""0100"": 1, ""0010"": 1}",256
