model,sample_index,original_dataset_index,label,score,threshold,prediction
isolation_forest_plus_quantum_kernel_svc_ibm_hardware,0,267,0,-0.0525731077981646,-0.6569896788990823,1
isolation_forest_plus_vqc_ibm_hardware,0,267,0,0.24609375,0.26375000000000004,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware,1,1076,1,0.1461080848623858,-0.6569896788990823,1
isolation_forest_plus_vqc_ibm_hardware,1,1076,1,0.33203125,0.26375000000000004,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware,2,206,1,-0.32547305045871555,-0.6569896788990823,1
isolation_forest_plus_vqc_ibm_hardware,2,206,1,0.296875,0.26375000000000004,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware,3,933,1,-0.4237026949541285,-0.6569896788990823,1
isolation_forest_plus_vqc_ibm_hardware,3,933,1,0.26171875,0.26375000000000004,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware,4,113,0,0.3723480504587158,-0.6569896788990823,1
isolation_forest_plus_vqc_ibm_hardware,4,113,0,0.39453125,0.26375000000000004,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware,5,870,0,-0.8436066513761467,-0.6569896788990823,0
isolation_forest_plus_vqc_ibm_hardware,5,870,0,0.21484375,0.26375000000000004,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware,6,650,0,0.235521788990826,-0.6569896788990823,1
isolation_forest_plus_vqc_ibm_hardware,6,650,0,0.28125,0.26375000000000004,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware,7,640,0,-0.8329988532110089,-0.6569896788990823,0
isolation_forest_plus_vqc_ibm_hardware,7,640,0,0.265625,0.26375000000000004,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware,8,202,1,0.11052178899082521,-0.6569896788990823,1
isolation_forest_plus_vqc_ibm_hardware,8,202,1,0.32421875,0.26375000000000004,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware,9,27,1,0.06787557339449524,-0.6569896788990823,1
isolation_forest_plus_vqc_ibm_hardware,9,27,1,0.28515625,0.26375000000000004,1
