model_group,purpose,i,j,circuit_index,depth_transpiled,size_transpiled,ops_transpiled
kernel_svc,train_kernel,0,0,0,1,4,"{'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,1,1,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,2,2,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,3,3,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,4,4,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,5,5,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,6,6,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,7,7,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,8,8,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,0,9,9,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,1,10,1,4,"{'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,2,11,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,3,12,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,4,13,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,5,14,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,6,15,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,7,16,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,8,17,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,1,9,18,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,2,19,1,4,"{'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,3,20,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,4,21,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,5,22,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,6,23,6,21,"{'rz': 9, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,7,24,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,8,25,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,2,9,26,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,3,3,27,1,4,"{'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,3,4,28,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,3,5,29,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,3,6,30,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,3,7,31,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,3,8,32,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,3,9,33,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,train_kernel,4,4,34,1,4,"{'measure': 4, 'barrier': 1}"
