purpose,i,j,model_requested,circuit_index,n_qubits,n_clbits,depth_untranspiled,size_untranspiled,ops_untranspiled
train_kernel,0,0,qksvc,0,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,0,1,qksvc,1,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,0,2,qksvc,2,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,0,3,qksvc,3,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,0,4,qksvc,4,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,0,5,qksvc,5,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,0,6,qksvc,6,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,0,7,qksvc,7,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,0,8,qksvc,8,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,0,9,qksvc,9,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,1,1,qksvc,10,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,1,2,qksvc,11,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,1,3,qksvc,12,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,1,4,qksvc,13,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,1,5,qksvc,14,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,1,6,qksvc,15,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,1,7,qksvc,16,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,1,8,qksvc,17,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,1,9,qksvc,18,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,2,2,qksvc,19,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,2,3,qksvc,20,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,2,4,qksvc,21,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,2,5,qksvc,22,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,2,6,qksvc,23,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,2,7,qksvc,24,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,2,8,qksvc,25,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,2,9,qksvc,26,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,3,3,qksvc,27,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,3,4,qksvc,28,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,3,5,qksvc,29,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,3,6,qksvc,30,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,3,7,qksvc,31,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,3,8,qksvc,32,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,3,9,qksvc,33,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,4,4,qksvc,34,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,4,5,qksvc,35,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,4,6,qksvc,36,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
train_kernel,4,7,qksvc,37,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
