purpose,i,j,model_requested,circuit_index,counts_json,shots_observed
train_kernel,0,0,qksvc,0,"{""0000"": 251, ""0010"": 3, ""1000"": 2}",256
train_kernel,0,1,qksvc,1,"{""0000"": 250, ""0010"": 3, ""1000"": 1, ""0100"": 2}",256
train_kernel,0,2,qksvc,2,"{""0000"": 251, ""0100"": 3, ""1000"": 2}",256
train_kernel,0,3,qksvc,3,"{""0011"": 242, ""1011"": 3, ""0010"": 7, ""0001"": 4}",256
train_kernel,0,4,qksvc,4,"{""0000"": 241, ""1000"": 1, ""0010"": 10, ""0011"": 1, ""0001"": 3}",256
train_kernel,0,5,qksvc,5,"{""0011"": 105, ""0001"": 55, ""0010"": 59, ""0000"": 33, ""0111"": 1, ""1011"": 2, ""1010"": 1}",256
train_kernel,0,6,qksvc,6,"{""0011"": 238, ""0000"": 1, ""0001"": 5, ""0010"": 6, ""1011"": 6}",256
train_kernel,0,7,qksvc,7,"{""0000"": 193, ""0001"": 31, ""0010"": 20, ""1010"": 1, ""0101"": 1, ""0011"": 5, ""0100"": 3, ""1000"": 2}",256
train_kernel,0,8,qksvc,8,"{""0000"": 245, ""0010"": 5, ""0100"": 1, ""1000"": 5}",256
train_kernel,0,9,qksvc,9,"{""0000"": 245, ""0010"": 8, ""0100"": 2, ""1000"": 1}",256
train_kernel,1,1,qksvc,10,"{""0000"": 248, ""0100"": 2, ""1000"": 2, ""0001"": 1, ""0010"": 3}",256
train_kernel,1,2,qksvc,11,"{""0000"": 251, ""0010"": 4, ""1000"": 1}",256
train_kernel,1,3,qksvc,12,"{""0011"": 237, ""0001"": 13, ""0010"": 5, ""1011"": 1}",256
train_kernel,1,4,qksvc,13,"{""0000"": 243, ""1000"": 3, ""0001"": 5, ""0010"": 5}",256
train_kernel,1,5,qksvc,14,"{""0011"": 91, ""0001"": 56, ""0010"": 58, ""0000"": 49, ""1011"": 2}",256
train_kernel,1,6,qksvc,15,"{""0011"": 242, ""0001"": 7, ""0010"": 6, ""1111"": 1}",256
train_kernel,1,7,qksvc,16,"{""0000"": 190, ""0001"": 29, ""1000"": 6, ""0010"": 25, ""0100"": 4, ""0011"": 2}",256
train_kernel,1,8,qksvc,17,"{""0000"": 252, ""1000"": 2, ""0010"": 1, ""0001"": 1}",256
