model,sample_index,original_dataset_index,label,score,threshold,prediction
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,0,379,0,-1.070216049382716,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,1,237,1,0.9296875,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,2,742,0,0.863184799382716,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,3,527,0,-1.0886863425925928,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,4,644,0,-1.1317033179012346,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,5,945,1,0.836082175925926,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,6,438,1,0.876880787037037,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,7,579,0,-1.119116512345679,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,8,922,1,0.8250385802469136,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,9,352,1,0.9442515432098766,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,10,624,0,-1.0526138117283952,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,11,542,0,-1.1062885802469136,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,12,146,1,0.820216049382716,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,13,585,0,-1.1267843364197532,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,14,143,0,0.87890625,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,15,233,1,0.9669174382716048,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,16,556,0,-1.0907600308641976,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,17,196,0,-1.1532118055555556,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,18,418,0,-1.0573881172839508,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,19,560,1,0.9344135802469136,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,20,1005,0,0.8428337191358024,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,21,117,1,0.8181905864197532,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,22,250,0,0.826147762345679,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,23,381,1,0.7566550925925926,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,24,809,0,-1.1591917438271606,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,25,456,0,0.8838252314814814,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,26,795,1,0.921826774691358,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,27,21,0,0.9470968364197532,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,28,150,1,0.8651138117283952,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,29,581,1,0.874855324074074,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,30,230,0,-1.1161747685185184,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,31,1026,0,0.7908468364197532,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,32,398,0,0.8700327932098766,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,33,634,1,0.8848861882716048,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,34,58,0,0.8465952932098766,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,35,406,1,0.8953510802469136,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,36,745,0,-1.1063368055555556,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,37,33,0,-1.1297743055555558,0.35010802469135816,0
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,38,704,0,0.816358024691358,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,39,298,1,0.8679591049382716,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,40,944,1,0.9129050925925926,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,41,113,0,0.9072627314814814,0.35010802469135816,1
isolation_forest_plus_quantum_kernel_svc_ibm_hardware_300,42,1043,1,0.904272762345679,0.35010802469135816,1
