purpose,i,j,model_requested,circuit_index,depth_transpiled,size_transpiled,ops_transpiled
train_kernel,0,0,qksvc,0,1,4,"{'measure': 4, 'barrier': 1}"
train_kernel,0,1,qksvc,1,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,0,2,qksvc,2,5,12,"{'sx': 4, 'rz': 4, 'measure': 4, 'barrier': 1}"
train_kernel,0,3,qksvc,3,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,0,4,qksvc,4,5,12,"{'sx': 4, 'rz': 4, 'measure': 4, 'barrier': 1}"
train_kernel,0,5,qksvc,5,5,12,"{'sx': 4, 'rz': 4, 'measure': 4, 'barrier': 1}"
train_kernel,0,6,qksvc,6,5,12,"{'rz': 4, 'sx': 4, 'measure': 4, 'barrier': 1}"
train_kernel,0,7,qksvc,7,5,12,"{'sx': 4, 'rz': 4, 'measure': 4, 'barrier': 1}"
train_kernel,0,8,qksvc,8,5,12,"{'sx': 4, 'rz': 4, 'measure': 4, 'barrier': 1}"
train_kernel,0,9,qksvc,9,5,12,"{'sx': 4, 'rz': 4, 'measure': 4, 'barrier': 1}"
train_kernel,1,1,qksvc,10,1,4,"{'measure': 4, 'barrier': 1}"
train_kernel,1,2,qksvc,11,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,1,3,qksvc,12,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,1,4,qksvc,13,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,1,5,qksvc,14,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,1,6,qksvc,15,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,1,7,qksvc,16,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,1,8,qksvc,17,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,1,9,qksvc,18,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,2,2,qksvc,19,1,4,"{'measure': 4, 'barrier': 1}"
train_kernel,2,3,qksvc,20,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,2,4,qksvc,21,5,12,"{'sx': 4, 'rz': 4, 'measure': 4, 'barrier': 1}"
train_kernel,2,5,qksvc,22,5,12,"{'sx': 4, 'rz': 4, 'measure': 4, 'barrier': 1}"
train_kernel,2,6,qksvc,23,5,12,"{'rz': 4, 'sx': 4, 'measure': 4, 'barrier': 1}"
train_kernel,2,7,qksvc,24,5,12,"{'sx': 4, 'rz': 4, 'measure': 4, 'barrier': 1}"
train_kernel,2,8,qksvc,25,5,12,"{'sx': 4, 'rz': 4, 'measure': 4, 'barrier': 1}"
train_kernel,2,9,qksvc,26,5,12,"{'sx': 4, 'rz': 4, 'measure': 4, 'barrier': 1}"
train_kernel,3,3,qksvc,27,1,4,"{'measure': 4, 'barrier': 1}"
train_kernel,3,4,qksvc,28,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,3,5,qksvc,29,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,3,6,qksvc,30,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
train_kernel,3,7,qksvc,31,6,17,"{'rz': 7, 'sx': 6, 'measure': 4, 'barrier': 1}"
