model,sample_index,original_dataset_index,label,score,threshold,prediction
isolation_forest_plus_vqc_ibm_hardware_300,0,379,0,0.3671875,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,1,237,1,0.6328125,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,2,742,0,0.70703125,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,3,527,0,0.3203125,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,4,644,0,0.40234375,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,5,945,1,0.6875,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,6,438,1,0.6953125,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,7,579,0,0.34375,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,8,922,1,0.69140625,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,9,352,1,0.6875,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,10,624,0,0.3671875,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,11,542,0,0.375,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,12,146,1,0.703125,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,13,585,0,0.37890625,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,14,143,0,0.703125,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,15,233,1,0.6796875,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,16,556,0,0.3359375,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,17,196,0,0.34375,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,18,418,0,0.37109375,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,19,560,1,0.67578125,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,20,1005,0,0.69921875,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,21,117,1,0.7109375,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,22,250,0,0.6953125,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,23,381,1,0.703125,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,24,809,0,0.37890625,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,25,456,0,0.65234375,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,26,795,1,0.66015625,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,27,21,0,0.70703125,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,28,150,1,0.72265625,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,29,581,1,0.66015625,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,30,230,0,0.37109375,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,31,1026,0,0.60546875,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,32,398,0,0.7109375,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,33,634,1,0.69921875,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,34,58,0,0.70703125,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,35,406,1,0.6875,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,36,745,0,0.38671875,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,37,33,0,0.36328125,0.508125,0
isolation_forest_plus_vqc_ibm_hardware_300,38,704,0,0.7109375,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,39,298,1,0.6875,0.508125,1
isolation_forest_plus_vqc_ibm_hardware_300,40,944,1,0.6796875,0.508125,1
