purpose,i,j,model_requested,circuit_index,depth_transpiled,size_transpiled,ops_transpiled
valid_vqc,0,-1,vqc,0,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
valid_vqc,1,-1,vqc,1,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
valid_vqc,2,-1,vqc,2,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
valid_vqc,3,-1,vqc,3,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
valid_vqc,4,-1,vqc,4,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
valid_vqc,5,-1,vqc,5,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
valid_vqc,6,-1,vqc,6,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
valid_vqc,7,-1,vqc,7,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
valid_vqc,8,-1,vqc,8,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
valid_vqc,9,-1,vqc,9,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,0,-1,vqc,10,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,1,-1,vqc,11,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,2,-1,vqc,12,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,3,-1,vqc,13,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,4,-1,vqc,14,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,5,-1,vqc,15,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,6,-1,vqc,16,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,7,-1,vqc,17,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,8,-1,vqc,18,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,9,-1,vqc,19,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,10,-1,vqc,20,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,11,-1,vqc,21,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,12,-1,vqc,22,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,13,-1,vqc,23,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,14,-1,vqc,24,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,15,-1,vqc,25,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,16,-1,vqc,26,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,17,-1,vqc,27,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,18,-1,vqc,28,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,19,-1,vqc,29,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,20,-1,vqc,30,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,21,-1,vqc,31,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,22,-1,vqc,32,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,23,-1,vqc,33,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,24,-1,vqc,34,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,25,-1,vqc,35,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,26,-1,vqc,36,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,27,-1,vqc,37,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,28,-1,vqc,38,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,29,-1,vqc,39,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,30,-1,vqc,40,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,31,-1,vqc,41,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,32,-1,vqc,42,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,33,-1,vqc,43,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,34,-1,vqc,44,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,35,-1,vqc,45,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,36,-1,vqc,46,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,37,-1,vqc,47,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,38,-1,vqc,48,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,39,-1,vqc,49,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,40,-1,vqc,50,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,41,-1,vqc,51,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,42,-1,vqc,52,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,43,-1,vqc,53,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,44,-1,vqc,54,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,45,-1,vqc,55,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,46,-1,vqc,56,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,47,-1,vqc,57,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,48,-1,vqc,58,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,49,-1,vqc,59,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,50,-1,vqc,60,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,51,-1,vqc,61,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,52,-1,vqc,62,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,53,-1,vqc,63,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,54,-1,vqc,64,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,55,-1,vqc,65,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,56,-1,vqc,66,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,57,-1,vqc,67,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,58,-1,vqc,68,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,59,-1,vqc,69,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,60,-1,vqc,70,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,61,-1,vqc,71,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,62,-1,vqc,72,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,63,-1,vqc,73,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,64,-1,vqc,74,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,65,-1,vqc,75,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,66,-1,vqc,76,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
test_vqc,67,-1,vqc,77,28,63,"{'rz': 32, 'sx': 21, 'cz': 6, 'measure': 4, 'barrier': 1}"
