source_file,model,n_rows_reported,confusion_total,accuracy_point,precision_point,recall_point,f1_score_point,pr_auc_point,roc_auc_point,fpr_point,fnr_point,tn,fp,fn,tp,ci_method,accuracy_ci_lower,accuracy_ci_upper,accuracy_bootstrap_mean,accuracy_bootstrap_std,precision_ci_lower,precision_ci_upper,precision_bootstrap_mean,precision_bootstrap_std,recall_ci_lower,recall_ci_upper,recall_bootstrap_mean,recall_bootstrap_std,f1_score_ci_lower,f1_score_ci_upper,f1_score_bootstrap_mean,f1_score_bootstrap_std,fpr_ci_lower,fpr_ci_upper,fpr_bootstrap_mean,fpr_bootstrap_std,fnr_ci_lower,fnr_ci_upper,fnr_bootstrap_mean,fnr_bootstrap_std
reports\final\main_classical_models_best_performance_table.csv,HistGradientBoosting,42793.0,1003366.0,0.302304,0.049191,0.95143,0.093545,0.091025,0.747354,0.723224,0.04857,267200.0,698200.0,1844.0,36122.0,Bootstrap from confusion-matrix counts for threshold metrics. PR-AUC and ROC-AUC CI require score-level prediction files.,0.301395,0.303227,0.302311,0.000462,0.048708,0.04967,0.04919,0.000244,0.949283,0.953536,0.951401,0.001104,0.092668,0.094407,0.093543,0.000442,0.722282,0.724104,0.723215,0.000463,0.046464,0.050717,0.048599,0.001104
reports\final\main_classical_models_best_performance_table.csv,Random Forest,42793.0,1003366.0,0.17136,0.043219,0.9887,0.082817,0.084495,0.71657,0.860783,0.0113,134400.0,831000.0,429.0,37537.0,Bootstrap from confusion-matrix counts for threshold metrics. PR-AUC and ROC-AUC CI require score-level prediction files.,0.17062,0.172114,0.171357,0.000383,0.042793,0.043665,0.043222,0.000222,0.987614,0.989712,0.988704,0.000549,0.082034,0.083635,0.082824,0.000407,0.860094,0.861473,0.860789,0.00035,0.010288,0.012386,0.011296,0.000549
reports\final\main_classical_models_best_performance_table.csv,Logistic Regression,42793.0,1003366.0,0.151256,0.040405,0.942027,0.077486,0.042729,0.556908,0.879843,0.057973,116000.0,849400.0,2201.0,35765.0,Bootstrap from confusion-matrix counts for threshold metrics. PR-AUC and ROC-AUC CI require score-level prediction files.,0.150527,0.151934,0.151253,0.000366,0.039985,0.040807,0.040404,0.000212,0.939801,0.944304,0.942037,0.001182,0.07671,0.078232,0.077485,0.000391,0.879208,0.880524,0.879845,0.000337,0.055696,0.060199,0.057963,0.001182
reports\final\main_classical_models_best_performance_table.csv,MLP,1000.0,100500.0,0.149682,0.005161,0.886,0.010261,0.006914,0.500524,0.854,0.114,14600.0,85400.0,57.0,443.0,Bootstrap from confusion-matrix counts for threshold metrics. PR-AUC and ROC-AUC CI require score-level prediction files.,0.147472,0.151732,0.149677,0.001103,0.004697,0.005624,0.005162,0.00024,0.858717,0.911591,0.885613,0.013735,0.009342,0.011176,0.010264,0.000475,0.851954,0.856227,0.854005,0.001095,0.088409,0.141283,0.114387,0.013735
reports\final\main_classical_models_best_performance_table.csv,SVM,1000.0,100500.0,0.058428,0.004965,0.944,0.009877,0.007121,0.497226,0.946,0.056,5400.0,94600.0,28.0,472.0,Bootstrap from confusion-matrix counts for threshold metrics. PR-AUC and ROC-AUC CI require score-level prediction files.,0.056955,0.059971,0.058415,0.000755,0.004532,0.005428,0.004966,0.000227,0.923404,0.962309,0.943794,0.009926,0.009022,0.010795,0.009879,0.000449,0.944572,0.947377,0.946014,0.000726,0.037691,0.076596,0.056206,0.009926
reports\final\main_quantum_models_best_performance_table.csv,Quantum Kernel SVC,800.0,80400.0,0.099254,0.005221,0.95,0.010385,0.004948,0.510194,0.905,0.05,7600.0,72400.0,20.0,380.0,Bootstrap from confusion-matrix counts for threshold metrics. PR-AUC and ROC-AUC CI require score-level prediction files.,0.097139,0.101406,0.099231,0.001084,0.004687,0.00576,0.005224,0.000267,0.92647,0.969773,0.949957,0.010992,0.009328,0.011451,0.01039,0.000528,0.902933,0.907069,0.905025,0.001064,0.030227,0.07353,0.050043,0.010992
reports\final\main_quantum_models_best_performance_table.csv,VQC Statevector,1600.0,160800.0,0.0149,0.005,0.995,0.00995,0.007783,0.497811,0.99,0.005,1600.0,158400.0,4.0,796.0,Bootstrap from confusion-matrix counts for threshold metrics. PR-AUC and ROC-AUC CI require score-level prediction files.,0.014303,0.015485,0.014918,0.000302,0.004671,0.005339,0.005007,0.000174,0.989556,0.998812,0.995008,0.002499,0.009298,0.010622,0.009963,0.000345,0.989512,0.990489,0.989989,0.000248,0.001188,0.010444,0.004992,0.002499
reports\final\main_quantum_models_best_performance_table.csv,VQC IBM Hardware,80.0,8040.0,0.004975,0.004975,1.0,0.009901,,,1.0,0.0,0.0,8000.0,0.0,40.0,Bootstrap from confusion-matrix counts for threshold metrics. PR-AUC and ROC-AUC CI require score-level prediction files.,0.003483,0.006468,0.004961,0.00076,0.003483,0.006468,0.004961,0.00076,1.0,1.0,1.0,0.0,0.006941,0.012852,0.009871,0.001506,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
reports\final\isolation_forest_quantum_hybrid_performance_table.csv,Isolation Forest + Quantum Kernel SVC,300.0,300.0,0.926667,0.957143,0.893333,0.924138,0.982047,0.977422,0.04,0.106667,144.0,6.0,16.0,134.0,Bootstrap from confusion-matrix counts for threshold metrics. PR-AUC and ROC-AUC CI require score-level prediction files.,0.896667,0.953333,0.92645,0.015166,0.92053,0.986486,0.956723,0.017008,0.839404,0.94156,0.893287,0.025559,0.890511,0.953273,0.923666,0.016204,0.012739,0.076389,0.040442,0.016182,0.05844,0.160596,0.106713,0.025559
reports\final\isolation_forest_quantum_hybrid_performance_table.csv,Isolation Forest + VQC Statevector,300.0,300.0,0.836667,0.885496,0.773333,0.825623,0.912685,0.893778,0.1,0.226667,135.0,15.0,34.0,116.0,Bootstrap from confusion-matrix counts for threshold metrics. PR-AUC and ROC-AUC CI require score-level prediction files.,0.793333,0.876667,0.837092,0.02139,0.824427,0.937008,0.885951,0.028299,0.708327,0.840285,0.774077,0.034037,0.775358,0.872131,0.825729,0.02462,0.055556,0.151724,0.099725,0.024601,0.159715,0.291673,0.225923,0.034037
