model_group,model,evaluation_type,sample_size_or_test_rows,training_time_seconds,test_inference_time_seconds,total_runtime_seconds,n_qubits,shots,circuits,transpile_time_seconds,wait_for_result_time_seconds,total_turnaround_time_seconds,ibm_quantum_seconds,cost_interpretation
Classical,Logistic Regression,Classical CPU/GPU runtime,111329.0,0.0,0.269182,0.000302,,,,,,,,Classical runtime only; no IBM QPU cost.
Classical,MLP,Classical CPU/GPU runtime,1000.0,0.126635,,0.000432,,,,,,,,Classical runtime only; no IBM QPU cost.
Classical,SVM,Classical CPU/GPU runtime,1000.0,0.39204,,0.057069,,,,,,,,Classical runtime only; no IBM QPU cost.
Classical,HistGradientBoosting,Classical CPU/GPU runtime,111329.0,0.0,0.481058,0.411618,,,,,,,,Classical runtime only; no IBM QPU cost.
Classical,Random Forest,Classical CPU/GPU runtime,111329.0,0.0,0.487948,0.477472,,,,,,,,Classical runtime only; no IBM QPU cost.
Quantum simulation / hardware,VQC IBM Hardware,Real IBM Quantum hardware,80.0,,,,4.0,1024,80.0,6.320523,31.047649,33.495537,24.0,Real IBM QPU cost measured by quantum seconds and turnaround time
Quantum simulation / hardware,Quantum Kernel SVC,Statevector simulation,1000.0,0.045725,,0.566294,4.0,statevector_exact,,,,,,Quantum simulation cost on classical hardware; no IBM QPU cost
Quantum simulation / hardware,VQC Statevector,Statevector simulation,1000.0,7.97048,,8.40323,4.0,statevector_exact,,,,,,Quantum simulation cost on classical hardware; no IBM QPU cost
Isolation Forest + quantum simulation,Isolation Forest + Quantum Kernel SVC,Statevector simulation on Isolation Forest-selected subset,300.0,0.00758,0.000727,0.103964,4.0,,1100.0,,,,,Isolation Forest candidate-pool + quantum statevector simulation on classical hardware
Isolation Forest + quantum simulation,Isolation Forest + VQC Statevector,Statevector simulation on Isolation Forest-selected subset,300.0,0.46758,0.002433,0.544549,4.0,,1100.0,,,,,Isolation Forest candidate-pool + VQC statevector simulation on classical hardware
Isolation Forest + quantum hardware,Isolation Forest + Quantum Kernel SVC IBM Hardware,Real IBM Quantum hardware feasibility test,10.0,0.002196,,,4.0,256,255.0,13.313847,32.800988,35.763228,21.0,"Real IBM QPU hardware cost measured by circuits, shots, turnaround time, and quantum seconds"
Isolation Forest + quantum hardware,Isolation Forest + VQC IBM Hardware,Real IBM Quantum hardware feasibility test,10.0,,,,4.0,256,20.0,13.313847,32.800988,35.763228,21.0,"Real IBM QPU hardware cost measured by circuits, shots, turnaround time, and quantum seconds"
